Main Title,Link,Summary,Sub Headings,Content
Syria faces uncertain future after regime’s collapse amid humanitarian crises,https://news.un.org/en/story/2024/12/1158311,"At a historic crossroads, just 11 days after the collapse of the Assad regime, Syria faces a fragile mix of hope and chaos, plagued by a volatile security situation and a worsening humanitarian crisis, top UN officials told the Security Council on Tuesday.",A pivotal moment; Regional power struggles; Situation in the Golan; Preserve Syria’s institutions; Staggering humanitarian needs; Funds needed,"Special Envoy for Syria Geir Pedersen and Emergency Relief Coordinator Tom Fletcher briefed ambassadors via video link from Damascus, where they are engaging with key stakeholders to ramp up UN support and pushing for an inclusive and credible political transition. They emphasized that while the current moment offers a rare opportunity for peace and rebuilding, it is fraught with risks. Mr. Pedersen described the dramatic end of the 54-year-long Assad regime as a pivotal moment for the country and its people. He stressed the need for careful management by both Syrians and the international community. “There is a profound and shared sentiment among Syrians that this new situation belongs to them, that it is their moment to realize their legitimate aspirations,” he said. “But many are apprehensive about the future. The challenges ahead are enormous.” He told Council members that regime’s fall followed swift advances by the Military Operations Command, an armed coalition led by Hayat Tahrir al-Sham (HTS). A caretaker authority, composed of officials from the self-styled Syrian Salvation Government, has assumed power. Mr. Pedersen also highlighted continued tensions across Syria, where armed opposition groups and regional power struggles threaten destabilization. Northeast Syria, including some neighbourhoods of Aleppo, remains under the control of the United States-supported Syrian Democratic Forces (SDF). A five-day ceasefire brokered by the US and Türkiye along the Euphrates River has expired, with reports of military build-ups and rising tensions. “Such an escalation could be catastrophic,” he warned. Adding to the volatility, in southwestern Syria, the UN peacekeeping mission, UNDOF, has observed Israel Defense Forces (IDF) in multiple locations in the area of separation. Israeli troops have advanced several kilometres into Syrian territory according to multiple media reports and there have been hundreds of airstrikes on military facilities, equipment and supplies across Syria, which Israel described as a defensive measure. “Such attacks place a battered civilian population at further risk and undermine the prospects of an orderly political transition,” Mr. Pedersen said, citing also reports of Israeli plans to expand settlements in the Golan. “Israel must cease all settlement activity in the occupied Syrian Golan, which are illegal. Attacks on territorial integrity must stop,” he stressed. Mr. Pedersen outlined Syria’s three main challenges: ongoing hostilities, immense humanitarian and economic needs, and the necessity for a credible political transition. He underscored the importance of preserving state institutions, establishing an inclusive governance process, and ensuring free and fair elections – all critical components of Security Council resolution 2254 (2015). “Stability will not last long if not built on credible and inclusive foundations. The time is to build those foundations now,” he said. UN Emergency Relief Coordinator Tom Fletcher echoed these concerns, underscoring the staggering humanitarian toll of the long-running conflict, compounded by the recent upheaval. Even before the recent dramatic events, Syria was one of the world’s largest humanitarian crises, with over 17 million people – or 70 per cent of the population – in need of assistance. “The recent escalation has only added to these needs,” Fletcher reported. More than one million Syrians were displaced in less than two weeks, while hundreds of civilians, including at least 80 children, have been killed or injured. Essential services, already decimated by years of conflict, ground to a halt, and schools, health facilities and aid operations are degraded. There are also reports of critical shortages of food, fuel and supplies due to disrupted trade routes and border closures. To alleviate the situation, he has been pushing for a massive scale-up of aid efforts, he said, adding that the caretaker authorities in Damascus have committed to facilitating humanitarian deliveries across conflict lines and borders. In addition, resources are desperately needed to fund relief operations. The 2024 humanitarian appeal for Syria is one of the most poorly supported, having received less than a third of its requirements with only two weeks left. The UN for its part has allocated $32 million from its Central Emergency Response Fund (CERF) to support critical, lifesaving humanitarian work. Mr. Fletcher urged the international community to follow suit. “Now is the time to invest in the Syrian people, to support flexible funds so that we can respond to changing needs…now is also the time for Member States to work on development support to rebuilding Syria, reducing dependence on humanitarian support; and maintaining essential services.”"
UN urges parties to re-engage on Iran nuclear deal,https://news.un.org/en/story/2024/12/1158306,The head of UN political affairs called on Tuesday for urgent re-engagement to restore an international agreement on Iran’s nuclear programme.,End the impasse; Verification and monitoring ‘seriously affected’; Enriched uranium stockpile ‘concerning’; ‘Rise to the challenge’; ‘Time is of the essence’,"Rosemary DiCarlo briefed the Security Council on developments surrounding the 2015 accord, known as the Joint Comprehensive Plan of Action (JCPOA), and implementation of Council resolution 2231 (2015) which endorsed it. The JCPOA set out rigorous mechanisms for monitoring restrictions placed on Iran’s nuclear programme, while paving the way for lifting sanctions against the country. It was signed between Iran and the Council’s five permanent members – China, France, Russia, the United Kingdom and the United States – plus Germany and the European Union. The US withdrew in May 2018 under the Trump administration. Ms. DiCarlo noted that 10 months remain until the “Termination Day” for Resolution 2231 (2015) and the impasse on restoring the JCPOA persists, amid a deteriorating regional context. “Against this backdrop, the need for a comprehensive, long-term-solution that would restore the objectives of the Plan has never been greater,” she told ambassadors. She said the US has not returned to the JCPOA, nor has it lifted or waived unilateral sanctions re-imposed in the wake of its withdrawal, and waivers regarding the trade in oil with Iran have not been extended. For its part, Iran “has not reversed any of the steps it has taken since May 2019 to move away from its nuclear-related commitments,” she added. Ms. DiCarlo quoted the UN-backed nuclear energy watchdog, the IAEA, which recently reported that its verification and monitoring activities have been “seriously affected by the cessation of Iran’s implementation of its nuclear-related commitments under the JCPOA”. The IAEA also noted that it has lost continuity of knowledge on many aspects of Iran's nuclear programme. “In plain words, the Agency is unable to assure the international community of the peaceful nature of Iran’s nuclear programme,” she said. Furthermore, the IAEA remains unable to verify the stockpile of enriched uranium in the country, a situation that has persisted since February 2021. “However, it estimated that Iran’s total enriched uranium stockpile is approximately 32 times the amount allowable under the JCPOA,” she said. “This includes increased quantities of uranium enriched to 20 per cent and 60 per cent. Such a stockpile of enriched uranium and level of enrichment remain very concerning.” The IAEA has also issued two ad hoc reports that describe Iran’s intention to commence previously declared enrichment activities exceeding the JCPOA limits as well as information on activities to increase production of uranium enriched to 60 per cent. Meanwhile, the UN Secretary-General has received letters from some JCPOA participants. France, Germany and the UK exchanged differing views with Iran and Russia on the root causes of the impasse, their respective steps taken as a result, and their views on the way forward. “The Secretary-General is concerned about the ongoing and persistent disagreements among these Member States at such a critical juncture,” she said. “Despite these differences, these Member States have expressed their commitments to making constructive efforts to resolve them. I urge all JCPOA participants and the United States to rise to this challenge.” In concluding her remarks, Ms. DiCarlo echoed the Secretary-General’s call for these nations to “prioritize multilateralism and diplomacy” – the principles that made the JCPOA possible. “The parties must summon the political will and urgently re-engage in negotiations. Time is of the essence,” she warned. “While the onus is on the JCPOA participants and the US, their success or failure matters to all of us. The region cannot afford further instability.” She underlined the need for genuine commitment to dialogue and diplomacy, saying “that is the way to restore confidence in the peaceful nature of Iran’s nuclear programme, realize the aspirations of the Iranian people, and contribute to stability in the region and beyond.”"
"‘Racial justice demands collective action’, says UN rights chief, ushering in new decade for African diaspora",https://news.un.org/en/story/2024/12/1158301,UN Human Rights Chief Volker Türk on Tuesday welcomed the proclamation of the Second International Decade for People of African Descent by the UN General Assembly.,Countries change course,"The new decade of action starting in January, will build on the progress of the past 10 years to advance the human rights of the diaspora worldwide. “Racial justice demands collective action,” Mr. Türk said. “To secure the full rights and freedoms of people of African descent, States and all of us must effectively confront the legacies of enslavement and colonialism, dismantle systemic racism and deliver reparatory justice. We need bold action to deliver real change,” the High Commissioner added. As coordinator for the International Decade, he said another important objective is the elaboration and adoption of a draft UN declaration on the respect, protection and fulfilment of the human rights of people of African descent. During the first ten years of action – despite persistent challenges – more than 30 countries changed their laws and policies to tackle racial discrimination and address specific issues faced by people of African descent – in some cases for the first time. This included the creation of the Permanent Forum on People of African Descent, as well as International Days to celebrate the contributions of the diaspora, including women and girls. Strong leadership, political will and increased financial and human resources are crucial to deliver on the ultimate goals of recognition, justice and development for people of African descent. It is also essential to ensure their meaningful participation in policies and decisions affecting Africans’ lives. The UN rights office, OHCHR, will continue working to foster concrete and meaningful action, including support for the High Commissioner’s Agenda towards transformative change for racial justice and equality, as well as the eight UN human rights anti-racism mechanisms."
"Around 90,000 children impacted by Cyclone Chido in Mozambique",https://news.un.org/en/story/2024/12/1158296,"Tropical Cyclone Chido struck northern Mozambique over the weekend, bringing torrential rains and powerful winds that caused devastation for communities in Cabo Delgado province.",Classrooms destroyed; infrastructure damaged; Seven years of conflict; Affected rural areas; UN standing ready; Other affected areas,"Current assessments show the storm destroyed or damaged over 35,000 homes, displaced thousands of families, and impacted more than 90,000 children, the UN Children’s Fund (UNICEF) said on Tuesday. According to the latest situation report, at least 174,000 people have been impacted overall but numbers may increase as assessments continue. In addition to homes damaged, at least 186,000 classrooms were destroyed, and 20 health facilities hit, after the storm made landfall on Sunday. Cyclone Chido hit close to the city of Pemba in Cabo Delgado, blowing away roofs, damaging civilian infrastructure, and leveling electricity and communication systems. “Mozambique is considered one of the most affected countries in the world by climate change and children were already experiencing several life-threatening emergencies before Cyclone Chido, including conflict, drought, and disease outbreaks,” said Mary Louise Eagleton, UNICEF Representative in Mozambique. UNICEF – along with other UN agencies, the government, NGOs and local partners – is “responding and prioritizing decisive actions for emergency humanitarian action despite the enormous challenges children face in Mozambique”, Ms. Eagleton added. Cabo Delgado has endured at least seven years of brutal conflict, leading to more than 1.3 million people becoming internally displaced, 80 per cent of them women and children. For many, Cyclone Chido has caused renewed hardship, washing away what little they had managed to rebuild, according to UN agencies in the region. The cyclone also tore through Nampula and Niassa provinces, leaving over 25,000 families without electricity and damaging two water facilities. In a region already fighting a cholera outbreak, the latest devastation creates an ominous likelihood that the outbreak will further deteriorate, UNICEF added. The World Health Organization (WHO) has experts on the ground in Cabo Delgado and Nampula provinces, supporting authorities to conduct health assessments to identify and address immediate needs. Within the first 48 hours, UN refugee agency, UNHCR, provided aid to those in need in Pemba, where more than 2,600 people received emergency relief and essential items such as blankets, sleeping mats, mosquito nets, and emergency shelter supplies. Speaking to the media on Tuesday in Geneva, UNCHR’s spokesperson Eujin Byun said that “while the full extent of the damage in rural areas remains unclear, preliminary assessments suggest that around 190,000 people urgently need humanitarian assistance, 33 schools have been affected and nearly 10,000 homes were destroyed. In some villages, very few houses remain standing”. Posting on X, the UN Secretary-General António Guterres said that UN teams in the region are helping deliver emergency assistance, and that the organization stands ready to provide additional support as needed. According to the UN aid coordination office, OCHA, limited supplies are hampering the response. Emergency Relief Coordinator Tom Fletcher has allocated $4 million to Mozambique in support of the early humanitarian response. With nearly 3.3 million people projected to be in “crisis” or higher levels of food insecurity in Mozambique next year, the World Food Programme (WFP) added that the agency would be scaling up to help those most affected by the cyclone. Cyclone Chido also caused significant devastation in Mayotte, a French overseas territory, resulting in fatalities, infrastructure damage, and increased risks for vulnerable communities, including asylum-seekers and refugees, added UNHCR. And in southern Malawi, the storm brought strong winds and rains leading to destruction of houses and infrastructure in several areas. The agency is actively monitoring the situation and coordinating with local partners."
"Avian flu reported in 108 countries across five continents, says UN health agency",https://news.un.org/en/story/2024/12/1158286,"Avian influenza has caused the deaths of more than 300 million birds worldwide and the virus “is increasingly crossing species barriers”, according to UN health officers.",Economic damage; Low risk to humans – for now; No room for complacency,"In an update on the mutating virus - known as H5N1 – Dr. Madhur Dhingra from the Food and Agriculture Organization, FAO, said that it had “spilled over into wildlife”. More than 500 bird species have been infected along with at least 70 mammalian species, including the endangered California condor and polar bears. In regions that are heavily reliant on poultry as a primary source of protein, the FAO medic insisted that avian influenza “poses a serious threat to food and nutrition security”. Dr Dhingra warned that hundreds of millions of people’s livelihoods have been affected by the virus – an economic burden on farmers that could prevent them from investing in adequate biosafety measures. Following the emergence of H5N1 influenza virus in dairy cattle, the WHO has joined calls for strengthened surveillance and biosecurity on farms, to keep animals and people safe. The UN health agency said that in 2024, 76 people have been infected with the H5 avian influenza strain, and most were farm workers. More than 60 cases originated in the US, which has also reported outbreaks of H5 in wildlife and poultry and, more recently, in dairy cattle. There have also been cases reported in Australia, Canada, China, Cambodia and Viet Nam. Dr. Maria Van Kerkhove, who currently serves as Director of Epidemic and Pandemic Threat Management for the WHO, said that based on the latest science, “we assess the risk of infection for the public – you and I – is currently low.” But if you work on a farm, she cautioned – and are exposed to infected animals – “we assess the current public health risk to be low-to-moderate,” depending on the level of personal protection taken. There is no evidence so far that the H5N1 viruses have adapted to spread between people and there has been no reported cases of human-to-human transmission. “We must remember, however, that this can change quickly,” the UN pandemic expert added, “as the virus is evolving and we must be prepared for such a scenario.” Every case that occurs in humans must therefore be investigated thoroughly. Dr. Van Kerkhove also stressed the importance of drinking pasturised milk – and if that’s not available, of heating milk before consumption. “We want to reiterate the critical importance of using a One Health approach across sectors – globally, nationally, and sub-nationally -  to tackle avian influenza effectively, to minimize the risk in animals and humans,” she concluded."
"WFP delivers aid to over 800,000 in Sudan's hunger hotspots",https://news.un.org/en/story/2024/12/1158281,"The World Food Programme (WFP) has intensified its emergency response in Sudan, delivering food assistance to more than 800,000 people in famine-affected and at-risk areas, even as conflict continues to escalate across the country.",Reaching hunger hotspots; Navigating conflict zones; Cash-based assistance expands; Race against time,"The surge in aid follows a large-scale effort launched by WFP to address the growing humanitarian crisis caused by the conflict that erupted in April 2023. October marked a record month, with WFP reaching 2.8 million people across Sudan with food, cash, and nutrition assistance – the highest monthly total since the start of the conflict. WFP is supporting people across Sudan with a focus on reaching 14 hunger hotspots, including embattled locations in Darfur, Kordofan, Khartoum, and Gezira. Despite volatile and dangerous conditions, aid has reached areas such as the Zamzam, Abu Shouk, and Al Salam camps in North Darfur, and Internally Displaced People (IDP) communities in Central and South Darfur. In West Darfur’s Kereneik and Sirba, food assistance has reached thousands, providing critical lifelines to communities facing the risk of famine. Zamzam camp in North Darfur, the only location globally where famine has been confirmed, has been a focal point of WFP’s efforts. Since September, around 135,000 people in the camp have received aid, with recent deliveries reaching 12,500 individuals. Another convoy carrying aid for over 70,000 people is currently on its way via the Adre border crossing in Chad, though deteriorating security conditions pose ongoing challenges. WFP has significantly ramped up food assistance, dispatching four times more aid in November compared to September. However, conflict continues to disrupt critical supply routes. Fighting in Um Rawwaba, North Kordofan, forced a convoy bound for North and South Kordofan to return to safety. These supplies are now being rerouted to accessible areas. In South Darfur, a convoy originally intended for Zamzam camp was redirected to Kalma Camp due to insecurity, providing aid to nearly 15,000 people. Cross-border operations from Chad remain vital. However, rising violence along these corridors is increasing risks for humanitarian workers and supplies. WFP has also increased cash assistance, helping over two million people in Sudan this year – 10 times more than in January. Cash and voucher transfers are critical in regions where physical access remains limited, though Sudan’s ongoing liquidity crisis continues to hinder operations. As conflict rages and humanitarian needs surge, WFP is racing to adapt and expand its assistance to the 1.7 million people in Sudan facing famine or the risk of famine. Sudan’s conflict has created one of the world’s most complex humanitarian crises, with millions of lives hanging in the balance as the fighting shows no sign of abating."
"Syria crisis: ‘Key priority’ is preserving evidence of crimes, say UN investigators",https://news.un.org/en/story/2024/12/1158276,The historic shift of power in Syria and the possibility of finally accessing evidence of horrific human rights violations could bring accountability closer than ever – if only proof can be preserved - a top UN investigator said on Tuesday.,Golan communities face evacuation orders; Engaging with new Syrian authority; Investigators in demand; Israeli military in spotlight,"The head of the International, Impartial and Independent Mechanism Investigating Serious Crimes in Syria (IIIM), Robert Petit, told reporters in Geneva that with an “interlocking series of crime scenes” across the country now accessible, there is the possibility of accessing evidence and “finally” establishing the fate of tens of thousands who had been “illegally arrested, detained and suffered years of violence inside the prison system”, almost 14 years after the start of a brutal state crackdown against Arab Spring protesters. Meanwhile, UN humanitarians warned that Syria’s humanitarian crisis is worsening, with fighting in the northeast, including in the occupied Golan Heights. “There have been orders issued by the Israeli forces to some villages for people to vacate, and that people have resisted leaving,” reported the UN refugee agency, UNHCR. Asked if there was anything new that he’d learned since the fall of the Assad regime just days ago, Mr. Petit underscored the IIIM’s eight years of investigative experience and said that what had struck him the most was seeing “the horror of the impact of the crimes on victims coming out of detention centres and on families”. Established in 2016 by the General Assembly, the IIIM is mandated to collect, preserve and analyze evidence to support competent jurisdictions in investigating and prosecuting international crimes committed in Syria from March 2011 onwards. These may include war crimes, crimes against humanity and genocide. Mr. Petit stressed that the previous Syrian Government had never recognized the IIIM’s legitimacy and failed to engage with the mechanism, despite many attempts. While preparing for future accountability processes, the IIIM has collected evidence from many sources, accumulating 283 terabytes of data which could be used to support current and future jurisdictions. Over the years it had received over 400 requests for assistance from 16 different jurisdictions and was able to support more than half of them with evidence and analysis. With new opportunities emerging amid the fast-moving political situation, “in the past week, we have received at least four different requests for assistance from jurisdictions”, Mr. Petit said. “If a jurisdiction had for some years now, an open file on the crimes committed by agents of the regime with no possibility of gathering evidence, that file was probably put on the side for a while, but now it has been reactivated.” The UN investigator said that he expects “increased demand” for the IIIM’s support. However, the destruction of potential evidence during the Syrian rebels’ flash offensive – while “quite understandable” given the fast-evolving situation – were a major concern. The UN investigator spoke of “papers strewn all over the floor, people leaving with computers, hard drives burned and smashed”, and stressed the need for a concerted preservation effort “from everyone”, with the IIIM playing its part in this process. The mechanism has “reiterated through a communication to the Syrian missions” in Geneva and New York its “willingness to engage and to go to Syria to fulfill our mandate”. “We are awaiting a response. And as soon as that response is forthcoming, we will deploy,” Mr. Petit insisted. He also noted, with hope, “a stated awareness from the transitional authorities, and from Syrian civil society actors of the need to preserve evidence.” “When you're talking about a government, a state apparatus, who for 14 years used every aspect of that apparatus to commit crimes, you will have a massive amount of documentation left behind.” Several national and international actors have offered to help the transitional authorities to preserve evidence, Mr. Petit said, expressing hope that these efforts will continue. The situation “varies from governorate to governorate” and part of the country “is still very much under an armed conflict,” he warned. “It's a very delicate and fluid situation.” Asked about reports that Syrians have accused the UN of arriving too late to help them, Mr. Petit said, “if the crime has been committed, it's already too late, right? It's always too late”. He stressed that now, the call to the international community has been heard. “You've seen statements from the UN, multiple international actors, multiple states, regional bodies” amid a level of access which was not possible just 13 days ago. “Now that we have access, I think there is a real expression of commitment to helping Syria rebuild. And we're certainly hoping to be part of that,” he concluded. Meanwhile, the UN refugee agency, UNHCR, warned that Syria faces a deepening humanitarian crisis amid ongoing fighting in the northeast and in the occupied Golan Heights. In recent days Israeli forces have advanced beyond the zone established by the May 1974 Agreement on Disengagement for the first time in 50 years and have reportedly carried out more than 500 airstrikes since the overthrow of the Assad regime. Rema Jamous Imseis, UN Refugee Agency (UNHCR) Director for the Middle East and North Africa, said that in the Golan, “there have been orders issued by the Israeli forces to some villages for people to vacate, and that people have resisted leaving”. The UNHCR official stressed the “massive humanitarian needs” in the country, with 90 per cent of the population living below the poverty line, and the need for donors to also support “early recovery and reconstruction” so that Syria can absorb an expected influx of returning citizens and move towards self-sufficiency. Both inbound and outbound population movements across the borders with Lebanon, Türkiye and Jordan have been observed amid the current “dynamic, fluid situation,” Ms. Imseis said. Next year, UNHCR expects to see as many as one million Syrians return to their country between January and June. Ms. Imseis warned against any forced returns, highlighting a “non-returns advisory” issued by the agency on Monday and calling on host countries to respect the rights of asylum-seekers and the principle of non-refoulement. “It’s simply too early to see how safe it’s going to be,” she said. “We need to respect the right of voluntary, safe and dignified returns for Syrians…And people simply cannot, after 14 years of displacement, pack a bag overnight and return to a country that has been devastated by conflict.” The task of documenting Syria’s disappeared – who are believed to number more than 130,000 - is carried out principally by three bodies at the UN:"
Middle East crisis: Live updates as Security Council meets on Syria,https://news.un.org/en/story/2024/12/1158271,"Senior UN officials have been meeting representatives of the new caretaker authorities in Damascus in the past few days, following the overthrow of the Assad regime. This morning in New York, the Security Council met to discuss the future of Syria, with briefings from the UN Special Envoy and the UN's emergency relief chief. UN News app users can follow our coverage here.",,
"World News in Brief: Death toll rises in Darfur, Cyclone Chido latest, São Tomé and Príncipe takes development step",https://news.un.org/en/story/2024/12/1158266,"UN humanitarians expressed alarm on Monday at the rising numbers of civilian casualties in and around the besieged Sudanese city of El Fasher, in northern Darfur.",Cyclone Chido: Humanitarians rush aid to affected areas; São Tomé and Príncipe takes major development step,"According to news reports citing local sources, paramilitaries from the so-called Rapid Support Forces who have been battling the forces of the military Government for 18 months, launched a missile attack at the weekend which killed more than 30 people in the city, while a drone attack on Friday reportedly killed nine and wounded 20 at the Saudi Hospital in El Fasher. Attacks include the repeated shelling of the Zamzam displacement camp since the beginning of this month, said UN Spokesperson Stéphane Dujarric, briefing correspondents in New York. “The camp hosts hundreds of thousands of people and famine conditions were confirmed there earlier this year.” In response to the deaths in the city in recent days, Mr. Dujarric condemned all civilian killings “wherever they occur”. WHO Director-General Tedros Adhanom Ghebreyesus said of the attack on the main hospital that it was no longer operational, describing all attacks on healthcare as “deplorable”, in a post on X. The hospital is no longer operational. (repeat) “This is part of a broader escalation of attacks across Darfur and in other areas of Sudan,” the Spokesperson added, reiterating the call from UN humanitarian affairs office, OCHA, for an immediate ceasefire “We reiterate that international humanitarian law must be respected. Civilians and civilian infrastructure, including hospitals, are not targets,” he added. After Cyclone Chido made landfall in the French island territory of Mayotte at the weekend, leaving an unknown number of dead and destruction on a massive scale, UN teams began aid distribution in Cabo Delgado province, in northern Mozambique – following the deadly storm making landfall there. Around two million people are at risk in Mozambique, including 627,000 identified as being at “high risk”. In an alert, the UN World Food Programme (WFP) said that voluntary evacuation plans began to be circulated on 8 December, reaching more than 400,000 people. The UN agency reported that in less than 24 hours, emergency food assistance reached around 500 cyclone-affected families in temporary accommodation centres in Pemba district alone. Humanitarians have been on high alert since the French Indian Ocean territory of Mayotte experienced its worst cyclone in almost a century on Saturday. Media reports showed trees uprooted and houses smashed, while communities faced power cuts and fears over a lack of drinking water. The UN is working closely with the Government in Mozambique to assess the damage and humanitarian impact. For its part, UN Children’s Fund, UNICEF, and partners are providing water and sanitation supplies to mitigate disease risks as the region is already grappling with a cholera outbreak. Preliminary figures indicate that 140,000 people have been impacted across Cabo Delgado Province, where more than one million people are already in need of assistance due to the ongoing conflict, said UN Spokesperson Stéphane Dujarric. “Our humanitarian colleagues tell us that in the most impacted districts – including Mecufi and Metuge – people urgently need shelter, they need water, they need sanitation, hygiene, health and protection assistance,” he added. Emergency Relief Coordinator, Tom Fletcher, allocated $4 million from the Central Emergency Response Fund to support early response efforts. The UN has congratulated São Tomé and Príncipe on its official graduation from the Least Developed Countries (LDC) category. The Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (UNOHRLLS) said the milestone “marks a significant achievement in the country’s development journey and reflects its sustained efforts to achieve robust economic growth, enhance human development, and improve resilience against vulnerabilities.” The graduation also underscores the international community's collective push to support LDCs overall and is “the result of years of strategic planning, effective policymaking, and international partnerships,” added OHRLLS in a statement. The UN Committee for Development Policy recommended the country’s graduation after it met the necessary criteria based on per capita income, human assets, and economic and environmental vulnerability indices. Notable accomplishments include the increase in universal health coverage from 47 per cent in 2010 to 59 per cent by 2021 and being ranked 11th among 54 African nations in the 2021 Ibrahim Index of African Governance. “The graduation of São Tomé and Príncipe is a historic milestone that underscores the resilience, vision, and determination of its government and people,” said Rabab Fatima, High Representative for OHRLLS. “This achievement is a powerful testament to the impact of effective partnership and multilateral cooperation, offering both a model and an inspiration for other LDCs working to overcome structural challenges and achieve sustainable development.”"
Migrant workers ‘indispensable’ to global economic growth: UN labour agency,https://news.un.org/en/story/2024/12/1158256,"International migrants comprised 4.7 per cent of the labour force in 2022 – an indication of the crucial role they play in the global economy, the UN labour agency ILO said in a report published on Monday.",Regional distribution; Gender disparities; An ‘indispensable’ force,"Some 167.7 million migrants were part of the labour force in their destination countries in 2022 – an increase of more than 30 million since 2013, according to the ILO Global Estimates on International Migrant Workers. Of this number, 102.7 million were men and 64.9 million were women. Most migrants were concentrated in high-income countries, which accounted for more than 68 per cent of the overall total. They were mainly drawn to three regions: Northern, Southern and Western Europe; North America and the Arab States. The share living in Northern, Southern and Western Europe rose from 22.5 per cent in 2013 to 23.3 per cent in 2022, while the other two regions saw slight declines. The term “international migrants in the labour force” means that persons can be working or unemployed, and more than 155 million had jobs. The ILO noted, however, that significant gender disparities persisted, as migrant women had an employment-to-population ratio of only 48.1 per cent, compared to nearly 73 per cent for their male counterparts. Migrants also faced a higher unemployment rate compared to non-migrants, or 7.2 per cent versus 5.2 per cent.  Again, women were more affected. “This disparity may be driven by factors such as language barriers, unrecognized qualifications, discrimination, limited childcare options, and gender-based expectations that restrict employment opportunities, particularly for women,” the ILO said. Further findings reveal that a significant portion of migrants, 68.4 per cent, were employed in the services sector – a trend largely driven by the global demand for care and domestic work, particularly among women. Nearly 30 per cent of migrant women, and 12.4 per cent of men, were employed in these types of jobs, compared to 19.2 per cent of non-migrant women and 6.2 per cent of non-migrant men. The report underscored the complexities of labour migration and the need for targeted policies to support international migrants. With most of these workers employed in high-demand sectors, ensuring equitable access to employment opportunities must be a priority. “Migrant workers are indispensable in addressing global labour shortages and contributing to economic growth,” said ILO Director-General Gilbert F. Houngbo. “Ensuring their rights and access to decent work is not only a moral imperative but also an economic necessity.”"
"Ukraine: Humanitarian crisis worsens amid winter freeze, daily attacks",https://news.un.org/en/story/2024/12/1158261,"Civilians near the frontlines of Ukraine’s war with Russia are living “on the edge”, a senior UN humanitarian official told the Security Council on Monday, calling for urgent international action to increase protection and sustain humanitarian aid.",Energy infrastructure under attack; Humanitarians at risk; Call to action,"Lisa Doughten, Director of Financing and Partnerships at the UN Office for the Coordination of Humanitarian Affairs (OCHA) highlighted the unrelenting toll on civilians. “Daily attacks continue, inflicting death, injury and untold suffering on ordinary Ukrainians, and destruction and damage to civilian infrastructure,” she said, adding that for those near the frontlines, lives is even more difficult. “They face constant shelling and impossible choices: flee in perilous conditions leaving everything they have – perhaps for the second or third time – or stay, and risk injury or death.” In regions like Zaporizhzhia, Donetsk, Kharkiv, and Kherson, dozens of civilians have been killed in recent attacks. In November alone, 65 civilians were killed, and 372 were injured across 11 regions of Ukraine, double the casualties from the previous month. The crisis has been exacerbated by “repeated, large-scale, coordinated attacks” on Ukraine’s energy infrastructure, Ms. Doughten said. These further imperilled civilians as temperatures drop to as low as minus 20 degrees Celsius.  According to the UN Development Programme (UNDP), more than 60 percent of the country’s energy generation facilities have been damaged since March. “Going into the coldest months of the year, civilians’ access to electricity, gas, heating and water has been severely affected,” Ms. Doughten added. The dangerous situation has also impacted humanitarian operations, with aid workers, vehicles and storage facilities having come under attack. The number of aid workers killed has almost tripled this year – from four in 2022 and five in 2023, to 11 so far in 2024. Despite these challenges, the humanitarian community has scaled up its efforts, Ms. Doughten said, noting that so far in 2024, over 630 humanitarian organizations have provided aid to 7.7 million people, prioritising support for the most vulnerable. However, an estimated 1.5 million civilians in Russian-occupied areas of Donetsk, Kherson, Luhansk, and Zaporizhzhia remain out of reach. “We remain unable to reach these people at any adequate scale. The failure to deliver assistance in these areas could have dire consequences, especially in winter,” she added. Ms. Doughten concluded with an appeal to the international community, urging immediate action in three areas: first, she called for full commitment and compliance with international humanitarian law, particularly on protection of civilians and humanitarians, and unimpeded access to those in need. Second, she stressed the urgent requirement for more funding. While donors have contributed nearly $2 billion this year, a $1.1 billion shortfall remains. “We need donors to increase and accelerate flexible funding to sustain life-saving operations as we head into 2025,” she said. Finally, she underscored the need to end the suffering at its source. “As long as this intolerable war persists, civilians will continue to suffer the severe consequences. What Ukraine and its people need is an end to this devastating war.”"
